Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Gap_Days,Gap_Flag,Return,SMA_20,SMA_50,SMA_200,RSI,Bollinger_Bands_Upper,Bollinger_Bands_Lower
HDFCBANK.NS,2025-04-01,901.0,904.95,882.67,883.92,872.14,28511006,,False,,,,,,,
HDFCBANK.NS,2025-04-02,885.35,899.6,885.35,898.45,886.47,11573564,1.0,False,1.64,,,,100.0,,
HDFCBANK.NS,2025-04-03,890.55,902.0,888.5,897.42,885.46,11250038,1.0,False,-0.11,,,,99.46,,
HDFCBANK.NS,2025-04-04,906.5,920.97,905.55,908.65,896.53,33540454,1.0,False,1.25,,,,99.49,,
HDFCBANK.NS,2025-04-07,881.4,889.92,869.1,878.85,867.13,37995450,3.0,False,-3.28,,,,84.96,,
HDFCBANK.NS,2025-04-08,882.5,891.0,875.15,884.58,872.78,35563872,1.0,False,0.65,,,,85.4,,
HDFCBANK.NS,2025-04-09,882.5,887.5,876.75,882.5,870.73,22454608,1.0,False,-0.24,,,,84.43,,
HDFCBANK.NS,2025-04-11,887.38,909.7,887.38,903.38,891.33,32775766,2.0,False,2.37,,,,86.13,,
HDFCBANK.NS,2025-04-15,932.5,938.4,927.5,932.45,920.01,49298344,4.0,True,3.22,,,,88.08,,
HDFCBANK.NS,2025-04-16,941.9,941.9,930.25,939.0,926.48,19136820,1.0,False,0.7,,,,88.48,,
HDFCBANK.NS,2025-04-17,941.0,959.85,938.35,953.35,940.64,35703084,1.0,False,1.53,,,,89.31,,
HDFCBANK.NS,2025-04-21,962.0,975.35,955.0,963.55,950.7,34247298,4.0,True,1.07,,,,89.87,,
HDFCBANK.NS,2025-04-22,967.5,985.3,967.5,980.85,967.77,45961750,1.0,False,1.8,,,,90.76,,
HDFCBANK.NS,2025-04-23,989.45,989.45,960.25,961.95,949.12,30570642,1.0,False,-1.93,,,,82.29,,
HDFCBANK.NS,2025-04-24,955.0,961.95,952.55,958.4,945.62,25931754,1.0,False,-0.37,,,,80.77,,
HDFCBANK.NS,2025-04-25,962.4,966.5,945.9,955.6,942.86,18500878,1.0,False,-0.29,,,,79.52,,
HDFCBANK.NS,2025-04-28,955.6,964.85,954.2,960.1,947.3,13920492,3.0,False,0.47,,,,80.05,,
HDFCBANK.NS,2025-04-29,959.4,964.4,950.1,954.4,941.67,18918308,1.0,False,-0.59,,,,77.3,,
HDFCBANK.NS,2025-04-30,956.5,968.45,955.15,962.5,949.66,31936870,1.0,False,0.85,,,,78.44,,
HDFCBANK.NS,2025-05-02,964.9,970.95,960.0,960.95,948.13,17840404,2.0,False,-0.16,931.04,,,77.64,1000.02,862.06
HDFCBANK.NS,2025-05-05,969.5,976.0,966.15,968.4,955.48,15068024,3.0,False,0.78,935.27,,,78.76,1002.42,868.12
HDFCBANK.NS,2025-05-06,965.0,970.05,962.15,965.85,952.97,17490156,1.0,False,-0.26,938.64,,,77.33,1004.76,872.51
HDFCBANK.NS,2025-05-07,967.0,974.35,961.2,972.8,959.83,21420778,1.0,False,0.72,942.41,,,78.47,1007.22,877.59
HDFCBANK.NS,2025-05-08,977.4,977.4,959.55,964.25,951.39,34803430,1.0,False,-0.88,945.19,,,73.55,1008.66,881.71
HDFCBANK.NS,2025-05-09,955.05,959.5,943.4,944.85,932.25,17188796,1.0,False,-2.01,948.49,,,63.77,1003.78,893.2
HDFCBANK.NS,2025-05-12,958.8,979.95,956.15,978.6,965.55,18618972,3.0,False,3.57,953.19,,,70.99,1001.09,905.28
HDFCBANK.NS,2025-05-13,975.0,980.85,960.0,961.3,948.48,24242102,1.0,False,-1.77,957.13,,,63.95,991.65,922.61
HDFCBANK.NS,2025-05-14,961.05,965.1,951.5,955.3,942.56,15445308,1.0,False,-0.62,959.72,,,61.67,983.3,936.15
HDFCBANK.NS,2025-05-15,956.75,972.4,948.5,966.9,954.0,32241458,1.0,False,1.21,961.44,,,64.32,981.38,941.51
HDFCBANK.NS,2025-05-16,966.9,971.9,964.2,967.35,954.45,15868010,1.0,False,0.05,962.86,,,64.42,979.9,945.82
HDFCBANK.NS,2025-05-19,968.5,972.5,965.5,969.35,956.42,10202964,3.0,False,0.21,963.66,,,64.91,980.32,947.0
HDFCBANK.NS,2025-05-20,964.05,967.3,956.5,957.45,944.68,23879090,1.0,False,-1.23,963.36,,,59.7,980.25,946.47
HDFCBANK.NS,2025-05-21,963.5,973.45,960.55,963.4,950.55,15132040,1.0,False,0.62,962.48,,,61.37,977.24,947.73
HDFCBANK.NS,2025-05-22,957.6,962.1,952.6,959.95,947.15,21306670,1.0,False,-0.36,962.38,,,59.82,977.18,947.59
